Round,Train Loss,Test Accuracy,Test AUC,STD Test Acc,STD Test AUC
0,3.759504943722865,0.05447619047619048,0.5472976411498932,0.07385274387097286,0.09147423211894551
1,3.728478972004957,0.055746031746031745,0.5882529498560661,0.07380198223553001,0.10708176858307833
2,3.724682901362871,0.05396825396825397,0.587094812690141,0.06928443579161,0.1022054405971861
3,3.7308178454962504,0.0513015873015873,0.6011924889119024,0.06771933697575523,0.09046836229580552
4,3.7735498468412505,0.046476190476190476,0.5953279948838648,0.04308459742805595,0.09561438178835312
5,3.829945708598136,0.06412698412698413,0.6120307370277244,0.07210145127593715,0.12072210098280063
6,4.107993831957205,0.06196825396825397,0.637487777417527,0.07670522879866334,0.1296780000699867
7,4.27822740311956,0.09041269841269842,0.6811891913851269,0.09876362491118079,0.14949964011734823
8,4.91328544751278,0.12088888888888889,0.6898530160140249,0.11892859730598096,0.16451680857691361
9,4.702466605258645,0.14273015873015873,0.7115295182771302,0.14890851080081371,0.17458648249992822
10,4.606563479817013,0.1871746031746032,0.7265009516337806,0.17938723511233903,0.17816050864659413
11,5.134792835954063,0.16952380952380952,0.7438483288607962,0.1874531915343609,0.186234791566521
12,4.057217411147317,0.2707301587301587,0.7789144363555126,0.2190665707710861,0.18674587572050524
13,4.572588236200802,0.285968253968254,0.7926752851553047,0.23058439155834345,0.1831514109634406
14,4.996161450940765,0.3073015873015873,0.8045133940584628,0.24428041659924857,0.1770234072332972
15,4.397905206234888,0.38641269841269843,0.8389461705961109,0.2662062552257613,0.16274520915253504
16,5.036279546779134,0.4050793650793651,0.8516077136250166,0.2820414808718393,0.1613527859604469
17,4.911280812039694,0.4380952380952381,0.8550132065303829,0.2862366711799617,0.15827895332370803
18,4.699196599053507,0.4676825396825397,0.8657467150266915,0.2792840309797581,0.15895857917046421
19,4.55716526892808,0.4979047619047619,0.8836284035881358,0.28972688043247014,0.14613809746546158
20,3.4488740593691984,0.5422222222222223,0.8983642446504815,0.2847255917191527,0.1355154984044296
21,3.077105950837748,0.5504761904761905,0.9040368825154401,0.28238280396840665,0.1314687917072648
22,2.9462486549108537,0.5906031746031746,0.9033361442131963,0.2837893408512401,0.13505343030462896
23,2.468409258997124,0.6134603174603175,0.9117220264547978,0.2855627886577528,0.13850365615139967
24,1.935580688371007,0.6746666666666666,0.9305335003463351,0.27356388243010105,0.13000383762132345
25,1.9572397744458712,0.689015873015873,0.9354840352025424,0.2691636646241491,0.12706684163610324
26,1.8998125609669971,0.7108571428571429,0.9368405365507942,0.26625211783332786,0.13100779891513845
27,1.8450384925691874,0.6991746031746032,0.9371598673201432,0.2748551220148467,0.12316965806089818
28,2.00152290927699,0.7078095238095238,0.9458610107270178,0.2533095287089785,0.10666237731987407
29,1.8644756193513516,0.7302857142857143,0.949578446144701,0.2557341717252116,0.10486922958369772
30,1.785359047311152,0.7453968253968254,0.9519840544994326,0.2567623595068539,0.10396757275032362
31,0.8980455971532039,0.777015873015873,0.9607432301057676,0.2182572715347208,0.09353595776486952
32,0.9234303013673094,0.777015873015873,0.9610641961161185,0.23125818199830545,0.09058552955613793
33,0.8622568512989257,0.7799365079365079,0.9670579387386133,0.21449390787530206,0.08574738415866469
34,0.6840473508886155,0.820063492063492,0.9767320475733827,0.18790461857883145,0.07421365949494933
35,0.6698641537864453,0.8213333333333334,0.9763673430683159,0.18266311734213217,0.07417760495399517
36,0.45067517949628744,0.8558730158730159,0.9875643760823175,0.1212556351815415,0.019149085542621697
37,0.3204309426661314,0.8932063492063492,0.991801999857223,0.0666051481324663,0.009713319510658425
38,0.4186769021689029,0.8582857142857143,0.9900321810917999,0.09037519517771399,0.012860167069666185
39,0.32674866796074964,0.8902857142857142,0.9932083886666458,0.06245918310546693,0.007496500817500918
40,0.2605421156421599,0.9036190476190477,0.9949774863152271,0.0466420872391628,0.004435432340936672
41,0.2561073166969312,0.9070476190476191,0.9948724078403774,0.05503865554675348,0.004601767680457876
42,0.22902538399595881,0.9125079365079365,0.9951681033566645,0.04727237400822342,0.004543712916814687
43,0.23294299359147655,0.9136507936507936,0.9950887446837058,0.05744206862234528,0.005069903617877368
44,0.26894493752596466,0.9047619047619048,0.9944592122355476,0.058028105447308,0.005173751724747483
45,0.2075360076933352,0.9184761904761904,0.9953480537725173,0.050481524129356393,0.004748819764864651
46,0.22105067140520435,0.917968253968254,0.9952795700985971,0.05237194139059369,0.004975217253861046
47,0.2301352511549421,0.9122539682539682,0.9947763273474265,0.0625719300629826,0.006255469130016376
48,0.19439404658274875,0.9282539682539682,0.9956273168140979,0.05414551301256581,0.006083957447805503
49,0.20504544871717972,0.9227936507936508,0.9955830309585352,0.059555418654240785,0.005534543515238452
50,0.20615112028719268,0.9215238095238095,0.995411272329179,0.056664693587889475,0.005476223585105241
51,0.1895113004149521,0.9277460317460318,0.9958931438401915,0.06327971875594365,0.0053224941838609045
52,0.15840452998435103,0.9346031746031747,0.9967800507485742,0.04754351041777247,0.004157732658802352
53,0.18728265975165656,0.9277460317460318,0.9956730406197793,0.058645304345796546,0.005749498905941598
54,0.17306665151766137,0.9307936507936508,0.9961373861314964,0.05710152546286348,0.005222051956187112
55,0.18706899806215668,0.9277460317460318,0.9957357679116473,0.06002511934282375,0.006110803163016773
56,0.17733305399099275,0.9314285714285714,0.9959049699956053,0.0607178390353587,0.0060305258107327545
57,0.15906541997128412,0.9371428571428572,0.995991172978884,0.054855189826361964,0.006845258367266755
58,0.12933330710336918,0.9432380952380952,0.9971140684025068,0.03259849343202596,0.0031313642120129872
59,0.147148179984196,0.9366349206349206,0.9964465578797476,0.046418476992211834,0.004775536115291785
60,0.1407353240438642,0.9391746031746032,0.9970030555190464,0.03851423904261972,0.00377303057017634
61,0.1083903288311681,0.9502222222222222,0.9971959368832882,0.0326159852761416,0.004236701175201138
62,0.12679343823624808,0.9433650793650794,0.9969197061221686,0.04031756254030771,0.004450280728305931
63,0.14024604696013848,0.938031746031746,0.9971788804343844,0.03537345378921303,0.0026974965528543636
64,0.14096379059134573,0.9406984126984127,0.9970414674998688,0.03389541447813077,0.002856659825905423
65,0.10985781854811075,0.9523809523809523,0.9975588168419416,0.02875589770309335,0.00269442292108399
66,0.08407977968028725,0.956952380952381,0.9981574369529405,0.025500124210939723,0.001861916247230527
67,0.09855107963637755,0.9556825396825397,0.9978676990077806,0.025909539702329808,0.002102144351748136
68,0.08549050051288684,0.9589841269841269,0.9980339356011192,0.0237531415247475,0.0021411616114513816
69,0.08705891257760472,0.9587301587301588,0.9978282140943439,0.028897660187067686,0.0023984347669305283
70,0.09115289869339326,0.9544126984126984,0.9977991915491569,0.027720642771571883,0.0024522985314531557
71,0.10526179680084398,0.9508571428571428,0.9978873759285959,0.026271463043369775,0.0021788982451817194
72,0.07942332585290406,0.9592380952380952,0.9981739389901922,0.02316797331005262,0.0020464437886147644
73,0.0767024085464511,0.9605079365079365,0.9982927606790376,0.02447871712451428,0.0019959256930395966
