Round,Train Loss,Test Accuracy,Test AUC,STD Test Acc,STD Test AUC
0,3.761200428009033,0.0513015873015873,0.5845635740369781,0.06342881569207921,0.08999973474808558
1,3.7283930133136898,0.04876190476190476,0.6343989195351509,0.060219453881416495,0.10318554927913891
2,3.7309596244917227,0.056634920634920635,0.6270599121554298,0.06414458652001526,0.08221185763307537
3,3.7744936784006526,0.05015873015873016,0.661640657503391,0.062341363729201106,0.07743650089810102
4,3.8622744435909238,0.03898412698412698,0.6318324994033454,0.0616261801628644,0.10364132173197019
5,3.9113299644016317,0.035682539682539684,0.6129266854094416,0.04622893894149194,0.10678986525837635
6,4.0984642993493905,0.02819047619047619,0.6193832891401876,0.030895436421823557,0.09686652087582852
7,4.243946052805746,0.04546031746031746,0.6491825907226414,0.057315365381814885,0.08929060748555383
8,4.497110589182171,0.04711111111111111,0.6281695564514193,0.052978201456100896,0.10907084916553128
9,4.152563127590495,0.06692063492063492,0.6606781118007974,0.07175042769712613,0.12290131870193192
10,4.11662699749563,0.09790476190476191,0.6883516161545433,0.1166174604533534,0.13643288986355084
11,4.124194262041504,0.12279365079365079,0.7036828185413,0.13767970832464574,0.16589337148790556
12,3.843111138224525,0.16520634920634922,0.7600211929100122,0.1621010332330079,0.1385800547911404
13,4.301075502819094,0.16825396825396827,0.7559531975166047,0.15704734229348244,0.14985783695008587
14,4.449861891582044,0.19403174603174603,0.7487045349001353,0.17126855262859234,0.13654806002380548
15,4.160153551140682,0.2234920634920635,0.7801809124693704,0.2063022821059204,0.1239834861136612
16,3.5551850790680026,0.285968253968254,0.8146922135321938,0.20904325267221613,0.13744065331900882
17,3.8658458818995167,0.3106031746031746,0.8298459961762795,0.2575574767141406,0.13686205415037675
18,3.675678197483247,0.3208888888888889,0.8395371896533955,0.23760047376590193,0.1446730406850903
19,3.4755261110606637,0.3554285714285714,0.8479421827502795,0.24910852744943027,0.12409636123711217
20,3.0654373710366913,0.38196825396825396,0.8656085964451632,0.2567819948138598,0.11667764933624833
21,2.989449284486879,0.4231111111111111,0.8726656723387167,0.26700936267152253,0.12392728365324444
22,2.6440130165569613,0.46755555555555556,0.8916076735034706,0.2857340995951435,0.11617740610058981
23,2.696126470842887,0.4713650793650794,0.8836731594982804,0.28811371269651526,0.13078495548297064
24,2.2177026343309083,0.5158095238095238,0.904030043785939,0.2719243432861887,0.1261183007921836
25,2.2451136266690814,0.5268571428571428,0.9091819146506118,0.2886765879455161,0.12746840624227657
26,2.0009742607843464,0.5668571428571428,0.914960410764846,0.28815639886712835,0.12893322275782682
27,2.00679712993827,0.5725714285714286,0.9181507399501522,0.2901051113972966,0.11957718150156872
28,1.930981498644726,0.5960634920634921,0.926149627256377,0.27815144183878604,0.1059710322618858
29,1.8573337869116506,0.6027936507936508,0.9288378092589687,0.2851182801868551,0.0985177616624098
30,1.8938124396481608,0.6017777777777777,0.9286855817430485,0.29092245017776913,0.10641741580145699
31,1.932638797535656,0.5963174603174604,0.9270662116557185,0.29273878877486237,0.10806820245938942
32,1.7915497210246856,0.6333968253968254,0.9320675495269358,0.28701540234090195,0.10426445923087808
33,1.7894588863827179,0.6321269841269841,0.9314221184349213,0.2857043433233785,0.1013422120960523
34,1.4825711993739843,0.6850793650793651,0.9472871662644075,0.2547818404280203,0.09006990967029357
35,1.4153275572910793,0.6846984126984127,0.9553845491777321,0.24505338431678664,0.0807599303393496
36,1.1500610868160381,0.7340952380952381,0.9690458964681904,0.2201433311588815,0.046272875465746405
37,0.891814066411962,0.7803174603174603,0.9767224759498773,0.18073119841131333,0.0319882752575203
38,1.0974715647487492,0.7295238095238096,0.9731770315256162,0.20552728018608088,0.0369184321271731
39,1.058954550318269,0.7423492063492063,0.9714818446071438,0.20070317279817848,0.03969077000039607
40,0.8803984256350149,0.7705396825396825,0.9771018834705546,0.1913899788871872,0.03232243753534276
41,0.7600644302816979,0.8072380952380952,0.9811456539256667,0.17577244766694042,0.029752330144455847
42,0.7490982150201518,0.8092698412698413,0.9813393010923935,0.1851203326125099,0.030873492394628353
43,0.7759086993667659,0.804063492063492,0.9793553572426069,0.18355799511258616,0.03488755008632446
44,0.7420102819461959,0.8130793650793651,0.9825639473186976,0.18915207740789605,0.02917632700408951
45,0.7433227364679068,0.8132063492063492,0.9815604068320821,0.19054481741763618,0.032164241761895286
46,0.6042209327327849,0.8384761904761905,0.9847862062293727,0.16708440499634866,0.025429825792618415
47,0.5885565349254357,0.8422857142857143,0.9851495977191783,0.1608198051403294,0.02761610347351294
48,0.5832163725085491,0.851047619047619,0.9843110659979022,0.158469969552602,0.02884963683853821
49,0.5563502362350569,0.8471111111111111,0.9860757020537554,0.16207434999257728,0.02366402235309428
50,0.513311594753367,0.8532063492063492,0.987242331175985,0.14962845605385408,0.021962019086811297
51,0.5798617580594468,0.8471111111111111,0.9851983044904787,0.16837423193546713,0.026605149914578075
52,0.4720250569184871,0.8698412698412699,0.9884920421597867,0.13271300181445161,0.01699520574071976
53,0.442123338348757,0.8756825396825397,0.9888502812457126,0.13305025214849123,0.018092571850981603
54,0.38153128428431704,0.8849523809523809,0.9909977240086532,0.12045558663353799,0.012444257113892493
55,0.3600001203663055,0.8886349206349207,0.9918661356040422,0.11585448111243846,0.01221477159529252
56,0.34040138419049076,0.8965079365079365,0.9919299093974279,0.11485135111211353,0.013834011804289873
57,0.3436262393074192,0.8987936507936508,0.9917024151296991,0.09870455580636114,0.01293078860717601
58,0.2614367337298878,0.910984126984127,0.9935948662340521,0.07176823691997024,0.008407320076403465
59,0.2703505314735282,0.9098412698412699,0.9934786611611542,0.06981763096200588,0.008146426949788569
60,0.25843542228675986,0.9104761904761904,0.9947386693272345,0.060714694927654946,0.00566343003114739
61,0.2127169037154951,0.9255873015873016,0.9950936442674839,0.064371935394157,0.007733000343932037
62,0.21075804296861844,0.9283809523809524,0.9953495710831529,0.055949758409750916,0.005408646726453259
63,0.30125036734733013,0.8999365079365079,0.9939181230331554,0.05687636256400454,0.005579527755093504
64,0.24549092717952323,0.9154285714285715,0.9953719299346364,0.05011351999982642,0.004568547661154339
65,0.20633453941539082,0.9273650793650794,0.9960023818694169,0.04455988710075134,0.004210986510928173
66,0.18445017089897908,0.9343492063492064,0.9961329385992584,0.04392600095860132,0.004420240146495154
67,0.18070887130565824,0.9356190476190476,0.9960992806786992,0.050819334954951,0.0046075597519486654
68,0.21019502473142174,0.9283809523809524,0.9944408120068396,0.06540155417009844,0.008807638185882274
69,0.19262771699765,0.9351111111111111,0.9948091668747905,0.057489529056593366,0.009620660846247193
70,0.1704288890387121,0.9373968253968255,0.9957430263211215,0.047066154886577394,0.00659764440528475
71,0.2015366644055185,0.9244444444444444,0.9956203809265961,0.051173615346722524,0.006147515507693081
72,0.20363635599344068,0.9306666666666666,0.9949123625674572,0.05782938486201528,0.008974516961025697
73,0.17956907684790288,0.937015873015873,0.9956085175896948,0.054228679784644566,0.007165709768908336
74,0.15048229898907206,0.941968253968254,0.996489769559669,0.05079123386150122,0.004893304489054973
75,0.1547162545292668,0.9426031746031746,0.996439957150909,0.05631386575453797,0.006242706445782132
76,0.1459304658706547,0.9398095238095238,0.9967461323201807,0.04975389286863312,0.005524992060954474
77,0.13146609683332205,0.9498412698412698,0.9967825306893491,0.044423539599717905,0.0059385646855514285
78,0.13559725544599632,0.947047619047619,0.9968243845057464,0.04982306913058735,0.005483178106098677
79,0.14070643800991586,0.9464126984126984,0.9970064341750883,0.041685422999328335,0.0047049257425741805
80,0.1457650754839904,0.9436190476190476,0.9970579747706434,0.04198690696452756,0.004245834868974189
81,0.15414253468609754,0.9403174603174603,0.9967305614368481,0.04072821359508318,0.004705113481750889
82,0.13124685781837284,0.9492063492063492,0.9968732927292475,0.04739926363992534,0.004961671122603114
83,0.1412138063537035,0.9462857142857143,0.9967992419810795,0.04451667085534753,0.00510946325723545
84,0.13224223073826705,0.9498412698412698,0.9968231084928135,0.0455442091949046,0.005569231599516413
85,0.1843502071467185,0.936,0.9955831889216079,0.05021232597001191,0.007322530234701601
86,0.15425545395420795,0.9473015873015873,0.9960769095458041,0.047692587828620375,0.007187010166964328
87,0.15668333943123344,0.9446349206349206,0.9969576684265616,0.044908163854669794,0.005044315499468244
88,0.15117258301699674,0.9453968253968253,0.9968315826685324,0.049052097744652995,0.004940204211225567
89,0.13698789561424607,0.9474285714285714,0.9969384831874469,0.050336087497370924,0.005372446636660143
90,0.14057522650388882,0.947047619047619,0.9969280436488016,0.05086500947538515,0.005414057330402562
91,0.1420022870542098,0.9492063492063492,0.9972041238721949,0.05180591182627631,0.004175470640601001
92,0.14925038682179187,0.9508571428571428,0.9970918578152621,0.04763020612666251,0.004880693756383194
93,0.15169710029751854,0.9516190476190476,0.9968729659342976,0.04810915200972504,0.005615050512459294
94,0.12195002971368399,0.9545396825396826,0.9974243514321092,0.04845578004446197,0.004486370747241703
95,0.1228846356890169,0.955047619047619,0.9971688722578391,0.04945819943215933,0.005496499747816568
96,0.10183171791732705,0.9592380952380952,0.9974680358825042,0.051169620042142504,0.004661998014870283
97,0.14217365549943858,0.9475555555555556,0.9969992092092967,0.05596636052805038,0.004554138097400411
98,0.12469915059190567,0.9525079365079365,0.9971478652481326,0.0500317780099936,0.004691333379422286
99,0.09955278495098512,0.9580952380952381,0.9975262237711864,0.04683708255809659,0.005134335472356908
100,0.0884027083607165,0.9602539682539682,0.9975985773440107,0.04598650790446614,0.004856521845662662
