Round,Train Loss,Test Accuracy,Test AUC,STD Test Acc,STD Test AUC
0,3.7952384392063614,0.004571428571428572,0.4919489205588006,0.014905105381208603,0.07401014428014238
1,3.6516192989367715,0.04736507936507937,0.658970926867205,0.059493695717279055,0.08610536415734725
2,3.635440901504869,0.05511111111111111,0.6445242612236391,0.06274403018733517,0.07692400492010532
3,3.528978571821437,0.0673015873015873,0.6953399614583017,0.05963374026143422,0.06954180786239829
4,3.5464096408076893,0.05676190476190476,0.6876271648061357,0.0590966470482795,0.0879789525624579
5,3.6169228954449766,0.07923809523809523,0.6779491407176689,0.06836778489930097,0.09097824091886751
6,3.533108141538499,0.07415873015873016,0.7246272634648621,0.058621895902160215,0.06189329014303099
7,3.314555555677628,0.096,0.7630551867657092,0.08449861701671259,0.05742884058424697
8,3.1630886826781297,0.12063492063492064,0.7829114267342454,0.0631586582957969,0.05400118900500488
9,3.1126042458780154,0.13714285714285715,0.7883090501361895,0.07204337429225774,0.054332301802640294
10,3.0732211251531067,0.14666666666666667,0.798888022723524,0.08383076672694002,0.05049826411788535
11,2.9309911966094457,0.16406349206349205,0.8109464951013295,0.08545461149690368,0.04499139064461536
12,2.6658688999086406,0.20495238095238094,0.8443797211099114,0.10603447846209345,0.04318868037138972
13,2.644786093826092,0.2632380952380952,0.8535608445979109,0.10590470441265477,0.03903397180592894
14,2.5000747843496764,0.22450793650793652,0.8723584444689862,0.09674624374092153,0.02582100544341565
15,2.2327278804098514,0.30514285714285716,0.8890241598019858,0.10992929936455044,0.02491967269560236
16,2.169151104781167,0.2815238095238095,0.893130263608528,0.10176694402576876,0.013617491617664328
17,2.0257970609100604,0.3551746031746032,0.9078006544824777,0.12290150647601307,0.019601443450761386
18,1.9685967259295405,0.36203174603174604,0.9085760584819194,0.10325105799418874,0.019609507381823967
19,1.8902019722730092,0.37346031746031744,0.9048992709743052,0.11547710034481819,0.021068290614205194
20,1.777927975019176,0.38095238095238093,0.9164472231994739,0.10679104367937989,0.017712858388487684
21,1.7046346725839847,0.44457142857142856,0.9159211914211505,0.12637909750260048,0.01895001671741634
22,1.5362207644868158,0.5163174603174603,0.9242632826334086,0.10115939732439964,0.019614066325977658
23,1.4702904781014816,0.49638095238095237,0.9242633429300803,0.10992776767325593,0.01552849382088789
24,1.3480521021165894,0.541968253968254,0.9325156794736638,0.1067483995198055,0.013554196042679488
25,1.2718279076366183,0.5531428571428572,0.9314796950489491,0.10203597350073988,0.014754088845815189
26,1.2170980055066754,0.578031746031746,0.9362183922122441,0.08937756750778397,0.011620200805690463
27,1.4625153860102351,0.5093333333333333,0.9280214245087657,0.10815246675108327,0.014772241322844437
28,1.1296810061601243,0.6086349206349206,0.944407133351194,0.11290408792541183,0.00952038169138356
29,0.9979411360328017,0.6346666666666667,0.9439947240194945,0.09445033358194861,0.007812312911840109
30,1.0765827404415191,0.6294603174603175,0.9461304624683703,0.10278986212449993,0.009017129745081065
31,0.9847147959901882,0.6435555555555555,0.944139683534455,0.09981536354454623,0.009439851060272187
32,0.8688267392952849,0.6770793650793651,0.9513316565108156,0.10397258973485643,0.007116351828631945
33,0.90092013944944,0.6562539682539682,0.9532605866277656,0.10619777438926038,0.007382855546994604
34,0.8387474038642954,0.6863492063492064,0.9512453633058802,0.08402333025636091,0.00683020962780607
