Round,Train Loss,Test Accuracy,Test AUC,STD Test Acc,STD Test AUC
0,3.7949116282771995,0.01180952380952381,0.49120516235468464,0.017388648869603122,0.08266247846101697
1,3.683651330763136,0.04025396825396826,0.6103582833438419,0.05155223151165196,0.08922029917482187
2,3.6561805889956687,0.06463492063492063,0.6273007225157438,0.07250989314022914,0.07961408085115566
3,3.6598177579368363,0.044698412698412696,0.6024560027964171,0.05601768051968021,0.0961487939489628
4,3.6093461297122693,0.07263492063492064,0.6213590453387291,0.06546943633078792,0.10240895106546383
5,3.557352237666242,0.0775873015873016,0.6503043213849551,0.07441562184057594,0.10677638536743946
6,3.448362807725927,0.09333333333333334,0.6850729484987481,0.10446983864539015,0.11040628744841229
7,3.411870592637579,0.12825396825396826,0.6860800883694327,0.10907018437433766,0.12837326445186983
8,3.2361401041935007,0.1633015873015873,0.7271522328491857,0.11733108069621291,0.12651958483357092
9,3.1560512081868684,0.1594920634920635,0.7514987595908993,0.11439983561384118,0.1320712595558162
10,3.116109475866199,0.16647619047619047,0.7503829565664326,0.10950251344388671,0.14827024169045863
11,2.9486811049019703,0.2372063492063492,0.7861321974297111,0.14137687277680513,0.13245562498689986
12,2.873130161116871,0.2113015873015873,0.7954504697043934,0.11468781172425731,0.13640696982762032
13,2.6403834521579315,0.30666666666666664,0.8296951750749025,0.14988883040517686,0.12732533144193672
14,2.6278129483240393,0.26704761904761903,0.8341097443795444,0.14203982022933206,0.13352803410239006
15,2.5644889288486925,0.3061587301587302,0.8314172588116923,0.1568860942789392,0.1387004413965237
16,2.416196214896582,0.3252063492063492,0.8550558976118919,0.14196300908602213,0.11156136152044413
17,2.3446124139659448,0.35707936507936505,0.8754567125760725,0.15034025812728616,0.09875810676170246
18,2.3261131605729606,0.3516190476190476,0.8728207432293268,0.14641973644977105,0.1052016429337667
19,2.248336281070654,0.3826031746031746,0.8769073214799027,0.16325213432011285,0.12036657757415112
20,2.0339571622184183,0.45866666666666667,0.9008319947847481,0.16623759393880186,0.10220204267332875
