Round,Train Loss,Test Accuracy,Test AUC,STD Test Acc,STD Test AUC
0,3.7188262999860653,0.04,0.599077774144888,0.043690862764607666,0.07258984638224464
1,3.6570241002412542,0.036698412698412695,0.6371215734023189,0.058237369683917364,0.0994680696512191
2,3.6975726077310394,0.03898412698412698,0.5934032936024295,0.04801403298860622,0.10515862059443876
3,3.768665866793693,0.05409523809523809,0.623101464686208,0.0652653452052689,0.10403723582672468
4,3.6912622268265682,0.07022222222222223,0.6228929428236959,0.08132327673768072,0.12172976157932765
5,3.6484321931602866,0.08647619047619047,0.6337759217929126,0.09657843442751982,0.14314560685828093
6,4.229363716703872,0.06895238095238095,0.6540375873172312,0.1031287842277216,0.13404069936869753
7,3.8127968971778214,0.11568253968253968,0.7233373351667305,0.1271886704814204,0.124568351216401
8,3.5682860811678854,0.152,0.7001070655333834,0.1277950832799934,0.15644072497056907
9,4.00952673118951,0.1608888888888889,0.7176435337170809,0.1440768174742005,0.1496891634316723
10,3.716772061746957,0.16926984126984126,0.7206849411407608,0.15809721099634652,0.1536126743804172
11,3.703911985511425,0.20292063492063492,0.7390418573366332,0.183391823579934,0.15924971981006766
12,3.855435211997601,0.22006349206349207,0.7635942069189219,0.19303128785939397,0.13944106691878536
13,4.087649309688688,0.23669841269841269,0.763475661903497,0.20537400284741675,0.15847679190004807
14,3.8829369312433037,0.2806349206349206,0.7766158596820352,0.20504703286548842,0.15285364402327356
15,4.21069803841608,0.29384126984126985,0.7780839242934476,0.21584809602855748,0.1503051235690105
16,4.060308725740987,0.30514285714285716,0.8002399972570616,0.2046030721331365,0.14736129944251747
17,3.9482837640910367,0.33625396825396825,0.8072333294616776,0.23233494785505504,0.15778144385602633
18,4.027888859537949,0.3469206349206349,0.8100286830037492,0.2283459127938232,0.15713067295536692
19,3.827778111548283,0.3973333333333333,0.8235955614575119,0.2530089083327331,0.15803324516111178
20,3.258215142639785,0.44025396825396823,0.8402548527045621,0.25691115397550185,0.14945869557384742
21,3.494107038994165,0.42882539682539683,0.8408151591333977,0.2594615694399939,0.15109120330932643
22,3.624353739610414,0.43707936507936507,0.8363662271662992,0.2766463105833513,0.1494326663110262
23,3.291462283442902,0.4575238095238095,0.8448362532857824,0.29755645616984766,0.15680554978951056
24,2.2382273949931224,0.5370158730158731,0.8962357917799015,0.2794404768929702,0.1326334228830952
25,2.517180929341574,0.5216507936507937,0.8804522202641517,0.2779478785184151,0.13201519137865197
26,1.8791715999010226,0.5913650793650793,0.9017994328155435,0.27629746718572556,0.13366969961058395
27,1.8436307903209546,0.6013968253968254,0.9061128721741988,0.28153502651139517,0.1337098317750529
28,1.7728628007942395,0.6441904761904762,0.9176303086431555,0.26569168832180745,0.11885408455279851
29,1.8861355791573315,0.6111746031746031,0.9130480706633444,0.28041342156730426,0.11549829440222088
30,1.8352665311398224,0.6040634920634921,0.9174638129092123,0.27634338402155095,0.11834204331995124
31,1.894539968875572,0.6168888888888889,0.9082713175411037,0.283577816064772,0.12447806561203997
32,1.7788523449410156,0.6377142857142857,0.9181570571394803,0.2951788363162188,0.11950247146724675
33,1.7508095338960932,0.6455873015873016,0.9184604416305816,0.2898315503061046,0.11748244960926406
34,1.243799869602545,0.7263492063492063,0.9505710580591034,0.2558440922768795,0.08401916127790382
35,1.6809178692294073,0.6862222222222222,0.9359540882042825,0.270872197236774,0.10024588451394091
36,1.1542772066948495,0.7405714285714285,0.9557223223571661,0.22461955115245924,0.06618390614506749
37,0.9085345160750155,0.7817142857142857,0.9619839976259889,0.18531196891031373,0.056107871839310854
38,0.9252404682810171,0.781968253968254,0.9615239964760175,0.18869111174887182,0.05916325749710112
39,0.639430510864675,0.8288253968253968,0.9790417669533028,0.14931397864560256,0.03258892935710004
40,0.6214591982401668,0.8383492063492064,0.9792671350090193,0.138007873327902,0.03278489106018121
41,0.6630968194163086,0.8308571428571428,0.9767090432461111,0.16802237584809934,0.040505818173735525
42,0.6541423285135078,0.8261587301587302,0.9786855343235624,0.16633676667221975,0.03806608089555968
43,0.6238315070774991,0.835936507936508,0.9786225305940791,0.15495878530728055,0.036614554749295876
